chimp,DOB,Sex,Dam,Sire,Rater,Numraters,Date,Zoo_Name,Version,Group_size,fear,dom,pers,caut,stbl,aut,stngy,jeals,reckl,soc,tim,symp,play,sol,actv,help,buly,aggr,manp,gntl,affc,exct,impl,inqs,subm,depd,irri,pred,decs,depr,sens,defn,intll,prot,invt,clmy,errc,frdy,lazy,dsor,unem,imit,indp,dominance,surgency,dependability,agreeableness,emotionality,openness
Puddin,12/23/1978,1,Mai,Hep,WH,2,08/05/1997,Yerkes,A,2,2,5,5,1,3,6,5,4,6,2,2,2,3,6,4,4,6,7,5,3,2,6,5,3,1,2,5,4,4,4,3,6,4,5,5,3,2,2,4,4,5,4,4,5.416666667,3,3.222222222,3.4,4.666666667,4
Puddin,12/23/1978,,Mai,Hep,AH,2,7/15/2001,Yerkes,B,2,1,6,5,1,3,5,4,5,6,1,1,2,2,5,4,3,5,4,4,2,2,4,5,4,1,2,6,3,5,4,3,5,4,2,4,3,5,1,5,5,3,4,6,5.75,2.666666667,2.888888889,2.4,4.666666667,4
Ranette,12/17/1987,0,Marilyne,Walnut,SS,1,1/13/1999,Yerkes,A,unk,2,5,4,4,5,1,4,5,4,5,2,4,4,2,4,4,5,5,4,4,3,3,2,2,3,3,5,6,5,2,4,4,5,3,3,1,2,3,5,3,3,4,3,4.75,4.222222222,4.444444444,3.8,3.666666667,2.5
Reba,11/03/1958,0,Flora,Web,WH,2,7/30/1997,Yerkes,A,7,6,3,4,4,2,6,3,3,2,4,5,3,2,2,4,4,3,2,2,3,3,5,5,2,5,5,5,5,4,2,3,3,3,3,2,5,6,4,4,6,2,4,4,3.25,4.111111111,4.111111111,3.2,5.666666667,2
Reba,11/03/1958,,Flora,Web,DL,2,10/04/1997,Yerkes,B,7,6,3,2,6,2,7,4,2,4,1,6,5,2,6,4,3,5,3,1,6,4,6,6,2,6,6,3,2,4,7,1,3,1,4,1,7,6,4,5,6,1,4,5,2.833333333,2.777777778,3.666666667,3.8,6.333333333,1.5
Rebecca,5/20/1991,0,Mickie,Frans,AH,2,7/15/2001,Yerkes,A,5,4,1,5,6,4,1,2,3,1,6,5,5,4,3,5,5,1,1,5,4,5,4,3,4,6,6,2,4,3,2,5,3,4,5,4,4,3,5,2,3,3,5,3,2.666666667,5.222222222,5.444444444,4.8,4.333333333,4
Rebecca,5/20/1991,,Mickie,Frans,MW,2,7/29/2001,Yerkes,B,5,4,4,3,5,3,2,3,4,2,3,5,3,1,6,1,3,2,2,3,4,3,4,2,2,6,3,3,5,5,6,5,2,2,3,3,5,3,3,6,5,3,2,5,3.416666667,2.111111111,5.111111111,3.6,4.666666667,2.5
Rhett,4/20/1989,1,Atlanta,Walnut,JM,1,01/11/1999,Yerkes,B,,1,4,5,2,3,1,2,4,5,5,1,3,4,1,4,3,5,5,2,3,5,3,1,5,2,2,1,4,5,1,3,5,5,2,3,1,1,3,1,1,2,2,5,5.25,4.888888889,5,2.8,4.666666667,4
Rogger,01/01/1969,1,Unknown,Unknown,WH,2,11/03/1997,Yerkes,A,7,1,7,7,1,3,4,7,7,6,3,3,2,2,3,5,3,7,6,5,3,3,5,3,2,1,2,4,5,5,2,4,6,1,5,1,5,2,3,4,5,2,1,6,6,3.555555556,3.333333333,3.4,5.333333333,1.5
Rogger,01/01/1969,,Unknown,Unknown,MW,2,7/25/2001,Yerkes,B,7,5,3,5,5,5,2,5,4,2,3,2,5,2,6,2,5,5,2,2,5,3,2,3,3,6,2,4,5,5,7,4,3,4,3,3,4,3,4,6,5,3,2,6,4.416666667,2.333333333,4.777777778,4.4,3.333333333,3
Ronald,05/04/1988,1,Banana,Geoff,LF,1,7/24/1997,Yerkes,A,3,4,1,1,5,4,1,1,1,1,4,4,4,4,4,3,3,1,1,1,4,4,3,4,3,7,6,2,4,3,4,4,2,3,2,3,5,3,4,4,4,4,3,3,2.25,3.777777778,5.555555556,3.4,3.666666667,3
Rosemary,02/11/1994,0,Foxy,Carmichael,LP,1,06/11/2000,Yerkes,B,,5,2,2,5,4,6,3,2,2,7,3,6,4,3,3,5,2,2,4,6,7,4,2,5,4,6,2,5,5,4,6,3,5,6,5,1,2,6,3,1,3,4,4,3.333333333,5,5.888888889,5.8,4.333333333,5
Rowena,8/13/1988,0,Ericka,Dobbs,AH,1,7/26/2001,Yerkes,A,11,3,2,6,4,5,2,4,3,6,3,3,2,4,4,4,3,2,2,3,3,2,3,5,4,2,3,5,3,5,4,4,4,4,2,3,4,5,3,5,4,3,4,5,4.416666667,3.444444444,3.666666667,2.8,3.666666667,3.5
Sabrina,10/16/1978,0,Mary,Homer,SS,2,1/14/1999,Yerkes,A,,4,4,4,3,3,5,3,3,5,3,3,3,2,5,5,3,5,5,4,3,3,5,5,4,4,4,5,4,4,5,4,5,5,3,4,2,5,3,3,2,4,3,5,4.333333333,3.333333333,3.666666667,3.2,4.666666667,4
Sabrina,10/16/1978,,Mary,Homer,AH,2,7/15/2001,Yerkes,B,,5,2,2,5,3,2,2,1,1,3,7,3,2,5,3,3,2,2,2,5,2,4,2,2,6,5,3,5,3,5,4,2,4,2,4,5,3,3,6,3,4,3,4,2.583333333,2.666666667,5.777777778,3.4,4.333333333,3
Sam,5/19/1982,1,Tari,Homer,WH,1,09/12/1997,Yerkes,A,12,2,5,5,6,5,1,2,6,3,5,5,5,4,2,5,4,5,5,6,4,4,3,2,1,3,5,3,5,3,2,4,3,2,5,2,4,5,5,2,3,5,2,2,3.583333333,4.777777778,4.333333333,4.4,3,1.5
Scott,6/23/1987,1,Jencie,Jimoh,LF,2,7/18/1997,Yerkes,A,2,2,5,5,2,4,1,1,5,2,4,1,5,5,1,4,5,4,4,4,3,4,3,5,5,1,2,4,3,4,1,4,4,5,4,6,1,4,4,2,1,3,2,5,5.083333333,4.777777778,4.222222222,4.2,4,5.5
Scott,6/23/1987,,Jencie,Jimoh,LP,2,7/16/1997,Yerkes,B,2,1,6,2,4,7,1,1,5,2,6,1,5,6,1,6,6,1,2,7,6,7,2,1,7,1,3,1,6,6,1,5,6,7,5,7,4,1,7,1,1,1,1,7,5,6,5.666666667,5.4,3.333333333,7
Sean,3/16/1992,1,Barbi,Rogger,JM,1,01/11/1999,Yerkes,A,unk,5,3,4,4,3,1,5,5,3,5,2,2,6,2,5,3,5,5,4,3,4,2,2,5,3,4,2,3,4,1,4,4,3,3,3,3,3,4,1,3,2,4,3,4.083333333,5.333333333,4.444444444,3,4.333333333,4
Sellers,12/18/1983,1,Marilyne,Walnut,WH,2,11/14/1997,Yerkes,A,3,1,4,5,3,5,1,5,5,5,5,2,2,6,3,4,3,5,3,5,3,4,3,3,5,2,2,2,6,7,3,4,6,5,5,5,3,2,4,4,2,4,2,6,5.583333333,4.333333333,4.666666667,3.4,3.333333333,5
Sellers,12/18/1983,,Marilyne,Walnut,MW,2,7/29/2001,Yerkes,B,3,3,4,5,3,5,3,5,4,4,5,3,5,4,3,4,5,3,4,3,4,4,5,3,4,3,3,4,5,5,3,4,3,5,5,3,3,3,5,4,3,3,2,3,4.583333333,4.222222222,4.555555556,4.6,4.333333333,3.5
Sheena,1/20/1989,0,Sabrina,Puddin,WH,1,,Yerkes,A,5,2,6,5,1,4,2,6,6,6,5,3,4,5,2,5,3,6,5,5,3,4,5,5,6,2,2,3,5,5,2,4,5,5,5,5,4,4,3,3,3,3,4,5,5.666666667,4.777777778,3.555555556,3.8,4.666666667,5.5
Sheila,3/19/1972,0,Lolita,Hep,SS,1,1/13/1999,Yerkes,B,,3,6,5,3,3,1,5,5,5,4,1,3,4,5,5,3,5,5,4,4,2,6,1,4,1,1,3,6,6,4,5,3,6,4,4,1,1,2,3,1,2,4,6,5.833333333,3.666666667,5.111111111,3.8,5.666666667,4
Shirley,01/11/1985,0,Tai,Rogger,WH,2,07/10/1997,Yerkes,A,2,4,5,6,5,4,7,6,2,2,4,4,4,5,3,4,4,5,5,5,4,4,6,2,4,4,5,5,6,6,5,4,5,5,5,4,2,4,4,3,4,2,4,5,4.666666667,4.222222222,4.555555556,4.2,5.333333333,4
Shirley,01/11/1985,,Tai,Rogger,MW,2,7/15/2001,Yerkes,B,2,2,5,6,2,2,2,7,7,5,3,2,2,1,3,6,1,6,7,7,1,1,7,6,4,1,2,7,1,2,4,6,6,5,6,1,3,3,1,4,4,1,2,6,5.666666667,3,2.222222222,3.2,6.666666667,2.5
Socrates,1/23/1987,1,Gwennie,Walnut,SS,1,01/10/1999,Yerkes,B,,1,7,7,1,5,1,3,1,6,6,1,5,5,2,5,4,6,6,7,6,6,4,6,6,1,1,3,5,7,2,6,7,7,4,7,1,2,4,1,1,1,1,7,6.583333333,5.111111111,4.111111111,5,4.666666667,6.5
Sonia,11/01/1959,0,Unknown,Unknown,SS,2,01/03/1999,Yerkes,A,unk,4,4,2,4,6,1,1,1,1,6,2,6,1,4,1,6,1,1,1,7,7,2,1,4,4,2,1,7,6,5,5,1,5,6,2,4,1,7,6,1,4,3,4,3.916666667,3.777777778,7,6,2.666666667,3
Sonia,11/01/1959,,Unknown,Unknown,WH,2,7/29/2001,Yerkes,B,unk,1,6,5,6,7,1,7,2,1,7,2,5,5,2,1,4,6,2,4,6,6,2,1,7,2,2,1,6,6,1,5,4,6,6,4,2,1,7,5,1,6,2,5,5.666666667,4.888888889,6.333333333,5.2,1.666666667,5.5
Storer,,1,Mai,Walnut,WH,1,,Yerkes,A,5,1,4,6,5,6,2,2,1,2,5,4,5,6,2,2,4,2,1,5,6,6,3,2,5,3,4,2,6,4,2,5,2,4,5,4,1,1,6,4,2,2,5,6,4.25,5.111111111,6.333333333,5,3.666666667,4.5
Suwanee,2/17/1985,0,Peony,Walnut,WH,2,11/15/1997,Yerkes,A,7,4,2,4,5,5,1,5,5,2,6,5,5,6,2,6,4,3,2,5,5,5,3,3,5,6,5,2,4,4,2,5,3,5,3,3,3,2,5,2,3,4,4,3,3.416666667,5.555555556,5.111111111,4.4,3.333333333,4
Suwanee,2/17/1985,,Peony,Walnut,MW,2,7/25/2001,Yerkes,B,7,5,2,3,5,5,2,3,4,2,3,5,4,2,5,2,5,1,2,3,5,4,3,2,3,6,5,4,5,3,5,5,2,4,3,3,4,3,5,5,4,3,3,5,2.916666667,3.111111111,5.111111111,4.4,3.666666667,3
Suzanna,2/25/1976,0,Jenda,Hep,AH,2,7/15/2001,Yerkes,A,2,4,4,5,5,3,2,4,5,6,3,2,2,5,4,7,4,4,4,5,3,3,7,7,5,2,2,5,2,5,2,2,5,4,3,4,3,5,2,1,6,2,4,6,4.75,4.555555556,2.555555556,2.8,6,4.5
Suzanna,2/25/1976,,Jenda,Hep,SS,2,1/14/1999,Yerkes,B,2,3,5,5,3,2,3,5,5,6,2,3,2,3,3,5,4,5,4,4,2,3,5,5,4,2,3,5,4,5,3,3,4,5,2,4,1,5,3,3,2,2,3,5,5.083333333,3.777777778,3.555555556,2.6,5.666666667,4
Sylvia,7/19/1993,0,Melissa,Carmichael,MW,2,7/24/2001,Yerkes,A,6,5,3,4,5,4,1,3,2,1,5,3,4,5,2,5,4,2,1,4,4,5,5,5,5,2,4,1,4,4,1,6,6,4,2,5,3,2,6,2,3,3,5,3,3.666666667,5.555555556,5.222222222,4,4.666666667,5
Sylvia,7/19/1993,,Melissa,Carmichael,DP,2,7/27/2001,Yerkes,B,6,6,5,6,2,3,1,6,6,5,3,2,3,7,4,7,4,5,5,4,5,2,7,7,6,6,2,2,4,6,4,4,6,6,5,6,1,5,3,1,4,2,4,7,5.25,4.555555556,3.111111111,4.2,6,6
Tai,01/01/1967,0,Unknown,Unknown,JM,1,01/11/1999,Yerkes,A,unk,3,2,3,3,4,1,4,2,1,3,3,3,2,5,3,4,2,2,2,5,4,5,3,4,3,4,2,6,2,2,5,2,5,3,4,2,1,3,5,3,3,1,4,3.833333333,3.111111111,6,4,4.666666667,4
Tank,2/18/1986,1,Leslie,Ossabaw,WH,1,8/15/1997,Yerkes,A,3,2,5,6,2,2,4,3,5,6,4,2,2,5,4,5,4,6,6,6,2,3,5,5,4,3,4,5,5,5,4,3,6,5,4,4,5,5,3,2,4,3,4,5,5.166666667,4.222222222,3,3,5.333333333,4
Tara,09/05/1995,0,Rita,Jimoh,JF,1,01/12/1999,Yerkes,B,,3,2,4,4,6,1,4,2,1,6,1,5,6,1,6,4,1,2,2,6,7,2,2,7,5,3,1,4,6,1,4,1,4,4,4,2,1,6,1,1,4,4,5,4.166666667,6.222222222,6.333333333,4.6,2.666666667,5.5
Travis,08/02/1989,1,Cissie,Kipper,SS,1,1/13/1999,Yerkes,B,,4,5,5,2,2,1,5,5,6,4,1,1,4,1,5,2,6,4,5,1,3,2,2,4,2,2,3,5,6,1,3,1,3,2,3,1,2,3,4,2,2,4,5,5.333333333,4.555555556,4.888888889,1.8,4.666666667,3.5
Vivienne,7/27/1974,0,Boka,Unknown,SS,2,01/10/1999,Yerkes,A,,4,1,2,7,4,2,2,2,2,1,4,2,1,7,2,2,2,1,1,4,2,2,2,6,7,4,4,6,4,6,4,1,4,1,2,1,1,2,6,2,6,2,5,2.833333333,1.666666667,6.111111111,2.6,2.666666667,4
Vivienne,7/27/1974,,Boka,Unknown,WH,2,8/22/1997,Yerkes,B,,4,2,5,4,3,5,5,5,5,4,5,3,3,5,3,3,5,4,4,3,3,5,4,3,6,4,5,4,5,5,3,5,5,5,3,4,4,3,5,5,2,3,4,4,3.111111111,3.444444444,3.4,5.333333333,3
Waga,3/19/1982,0,Banana,Jorg,JM,1,01/11/1999,Yerkes,B,,2,2,2,5,3,1,3,2,2,3,5,3,3,3,3,3,3,2,2,3,3,3,2,4,5,3,1,5,3,5,4,2,3,2,3,4,3,3,5,4,5,2,4,3.333333333,3.111111111,5.666666667,3,3.666666667,3.5
Wenka,5/21/1954,0,Banka,Web,WH,1,08/11/1997,Yerkes,A,3,5,2,2,5,2,6,1,2,2,3,5,4,2,6,2,2,1,1,4,4,3,5,5,4,6,6,4,5,4,6,3,4,3,4,3,5,5,4,4,6,3,4,5,2.583333333,2.888888889,4.444444444,3.4,5.333333333,3.5
Wilma,10/27/1988,0,Vivienne,Duncan,WH,2,7/23/1997,Yerkes,A,9,2,5,5,5,6,1,3,5,2,6,2,3,5,2,5,4,5,2,5,5,5,3,2,4,4,3,1,7,5,1,5,3,5,5,4,4,4,4,4,5,5,4,6,4.833333333,5.111111111,5.222222222,4.4,2.666666667,4
Wilma,10/27/1988,,Vivienne,Duncan,AH,2,7/26/2001,Yerkes,A,9,2,4,3,4,4,1,4,3,3,4,3,3,3,4,4,4,1,1,5,5,4,3,3,2,4,3,3,6,5,4,4,4,4,4,4,4,3,4,4,3,6,4,5,4.166666667,3.888888889,5.222222222,4,3,3
Wilson,03/09/1994,1,Gay,Rogger,KG,2,2/18/1998,Yerkes,A,,5,5,5,5,3,2,5,5,6,6,4,4,6,3,6,5,4,3,3,5,6,4,4,3,4,5,4,5,3,2,6,4,2,6,5,6,4,6,4,5,3,5,3,3.666666667,5.555555556,3.777777778,5.2,4.666666667,4
Wilson,03/09/1994,,Gay,Rogger,LP,2,06/11/2000,Yerkes,B,,5,3,4,5,3,6,4,5,5,6,5,5,6,2,6,5,4,4,5,4,6,6,4,6,4,5,2,4,3,2,5,3,3,5,3,2,3,6,2,1,2,5,3,3.333333333,5.888888889,4.555555556,4.8,5.666666667,4.5
Winston,01/12/1987,1,Barbara,Ossabaw,LF,2,12/08/1997,Yerkes,A,3,2,5,5,3,4,2,3,3,3,4,2,3,4,4,4,4,4,5,4,3,3,5,5,4,2,2,4,3,4,3,4,4,5,4,4,3,5,4,3,3,3,3,4,4.916666667,4,3.888888889,3.6,4.666666667,4
Winston,01/12/1987,,Barbara,Ossabaw,AH,2,7/15/2001,Yerkes,B,3,2,5,6,2,2,2,2,6,6,3,1,2,3,4,5,4,5,5,4,2,3,6,5,5,1,2,6,5,6,3,3,5,4,2,4,3,4,3,3,4,2,4,5,5.416666667,3.888888889,3.111111111,2.6,6,4.5
Woodruff,7/22/1975,1,Anna,Frans,MW,2,7/16/2001,Yerkes,A,2,3,2,6,5,6,2,4,4,2,5,2,5,3,2,3,5,1,1,2,6,5,3,3,6,6,2,2,6,6,3,5,2,5,4,5,3,2,6,6,2,3,4,6,4.333333333,4.333333333,5.777777778,5,3.333333333,5.5
Woodruff,7/22/1975,,Anna,Frans,WH,2,9/15/1997,Yerkes,B,2,4,2,5,5,4,3,3,3,2,3,6,4,2,5,1,3,1,2,2,4,2,2,3,2,6,5,2,4,2,5,2,2,1,3,2,5,3,3,6,6,5,2,4,2.666666667,2.333333333,5,3.2,3,2
