"","chimp","Sex.x","DOB.x","Dam.x","Sire.x","Rater.x","DOPR.x","DaysAgeatTest","YearsAgeatTest","location.x","Version.x","Group.size.x","fear.x","dom.x","pers.x","caut.x","stbl.x","aut.x","stngy.x","jeals.x","reckl.x","soc.x","tim.x","symp.x","play.x","sol.x","actv.x","help.x","buly.x","aggr.x","manp.x","gntl.x","affc.x","exct.x","impl.x","inqs.x","subm.x","depd.x","irri.x","pred.x","decs.x","depr.x","sens.x","defn.x","intll.x","prot.x","invt.x","clmy.x","errc.x","frdy.x","lazy.x","dsor.x","unem.x","imit.x","indp.x","DOB.y","Dam.y","Sire.y","location.y","Group.size.y","Sex.y","Rater.y","DOPR.y","Version.y","reckl.y","aut.y","symp.y","sol.y","buly.y","actv.y","fear.y","caut.y","imit.y","unem.y","stngy.y","play.y","sens.y","exct.y","aggr.y","indp.y","intll.y","affc.y","stbl.y","help.y","tim.y","impl.y","depd.y","decs.y","defn.y","irri.y","lazy.y","invt.y","dom.y","pred.y","frdy.y","depr.y","clmy.y","prot.y","subm.y","gntl.y","manp.y","soc.y","inqs.y","jeals.y","pers.y","errc.y","dsor.y","fear.z","dom.z","pers.z","caut.z","stbl.z","aut.z","stngy.z","jeals.z","reckl.z","soc.z","tim.z","symp.z","play.z","sol.z","actv.z","help.z","buly.z","aggr.z","manp.z","gntl.z","affc.z","exct.z","impl.z","inqs.z","subm.z","depd.z","irri.z","pred.z","decs.z","depr.z","sens.z","defn.z","intll.z","prot.z","invt.z","clmy.z","errc.z","frdy.z","lazy.z","dsor.z","unem.z","imit.z","indp.z"
"63","Flora",0,"1/1/54","","","LF","7/24/97",15910,44.7,"Yerkes","A",3,6,1,5,4,2,4,4,6,1,4,5,3,2,4,2,2,1,1,1,4,3,6,4,3,5,5,6,3,3,5,3,3,3,3,2,4,5,2,5,3,2,2,4,"1/1/54","","","Yerkes",3,0,"DL","10/4/97","B",6,3,2,6,5,3,2,2,4,2,5,1,4,6,3,5,5,3,2,2,2,6,5,3,6,6,5,3,2,2,2,6,5,3,5,3,2,2,4,6,2,5,5,4,1.5,3.5,3,2,3.5,4.5,6,3.5,3,3.5,2.5,1.5,5,2.5,2,3,2,1.5,3.5,3,6,5,3.5,5,5,6,2.5,3,5.5,3.5,4.5,4,3,2.5,4.5,5,2,5,4,2,3,4.5
"64","Foxy",0,"12/10/67","Halpha","Jethrow","AH","7/15/01",12271,34.5,"Yerkes","A",2,2,6,5,4,5,2,6,3,2,4,3,3,2,4,4,2,1,2,4,5,4,4,3,2,2,2,2,5,4,3,4,3,4,3,3,3,2,4,3,4,4,4,5,"10/12/67","Halpha","Jethrow","Yerkes",2,0,"WH","9/17/97","B",2,6,2,6,4,1,3,5,2,6,5,2,2,2,4,5,1,2,3,3,6,4,4,5,3,5,7,2,3,4,2,5,6,3,5,3,2,2,2,5,6,5,6,2.5,4.5,5.5,4.5,4,4,5.5,4,2,3,4.5,2.5,2,5,2.5,2.5,2.5,3,3,4,3,3,3.5,2,3.5,3,3.5,4.5,4.5,4,3,3,2.5,3,2.5,4.5,3.5,3,5,5,5,3,5
"65","Francisca",0,"1/1/59","","","WH","11/23/97",14206,39.9,"Yerkes","A",2,4,6,6,3,2,5,6,6,6,2,4,4,2,5,1,2,6,7,7,3,3,7,5,2,2,3,6,5,5,2,3,6,5,4,3,4,6,2,6,2,1,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Frannie",0,"10/26/92","Borie","Jimoh","SS","1/3/99",2260,6.3,"Yerkes","B",2,5,1,5,6,3,5,2,2,4,4,5,4,4,4,5,4,4,1,4,5,4,6,5,6,5,5,3,5,4,2,4,2,4,4,5,1,5,6,1,2,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Fritz",1,"7/14/88","Bo","Ossabaw","WH","11/21/97",3417,9.6,"Yerkes","A",8,3,5,5,2,2,5,4,5,6,3,4,2,4,4,4,3,5,6,3,2,2,5,5,4,2,2,6,2,3,4,2,5,3,6,3,5,6,2,4,5,3,2,6,"7/14/88","Bo","Ossabaw","Yerkes",8,1,"AH","7/26/01","B",5,3,2,5,5,5,2,4,5,4,5,3,4,5,6,5,4,3,3,4,2,3,2,3,3,4,4,4,5,5,4,3,4,3,2,4,4,3,4,5,3,5,5,2.5,5,4,3,2.5,4,4.5,5,5.5,3,3,2,3.5,4.5,4.5,3.5,5,6,3.5,3,2.5,5,4,4,2,2,5,3.5,3,3.5,3,4,3.5,4.5,3.5,4.5,5.5,3,4,5,3.5,3.5,5.5
"68","Garbo",0,"12/10/53","Gamma","Bokar","WH","10/22/97",16022,45,"Yerkes","B",NA,1,1,5,6,5,3,3,2,1,5,5,5,4,6,1,4,1,1,5,6,4,4,3,5,6,5,2,5,3,4,4,1,5,4,3,5,3,6,5,4,2,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Gay",0,"1/1/67","","","WH","8/31/97",11200,31.5,"Yerkes","A",7,2,7,7,3,4,2,6,5,6,3,5,3,5,5,4,2,7,6,6,3,2,5,4,4,2,2,4,4,5,4,3,6,4,4,3,5,4,5,3,4,5,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Gelb",1,"4/18/83","Sheila","Walnut","MW","7/15/01",6663,18.7,"Yerkes","A",2,1,6,6,2,2,3,6,6,5,5,2,1,2,4,2,5,5,6,4,2,3,7,7,3,2,1,6,5,5,2,6,3,4,4,2,2,4,4,2,5,5,4,5,"4/18/83","Sheila","Walnut","Yerkes",2,1,"WH","9/2/97","B",5,5,3,6,4,2,3,3,2,5,5,2,2,4,5,5,2,2,3,4,5,5,4,3,4,5,6,1,4,5,3,5,6,3,5,2,4,3,2,5,5,6,6,2,5,5.5,2.5,2.5,4,5.5,5.5,5,4,3.5,2,2,5,2,4.5,4.5,5.5,4,2,2.5,5.5,6,2.5,3.5,2.5,5.5,5,4,3.5,4,3.5,3,3.5,1.5,4,5,3.5,4,5.5,5,3,5
"71","Georgia",0,"8/27/80","Borie","Jiggs","JM","8/16/00",7294,20.5,"Yerkes","A",1,1,7,7,2,6,1,7,7,6,6,1,2,4,1,4,3,7,7,7,1,4,4,6,7,1,1,6,1,6,1,2,7,6,2,6,1,6,3,2,2,3,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Grayson",1,"5/22/97","Alicia","Elwood","LP","6/3/00",1108,3.1,"Yerkes","A",NA,3,2,3,5,3,5,3,4,4,6,5,5,5,3,5,4,2,2,4,5,6,4,3,4,5,6,2,5,4,2,4,2,4,2,2,5,3,6,1,1,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Gwennie",0,"1/1/69","","","SS","1/16/99",10972,30.8,"Yerkes","B",NA,1,1,7,7,6,1,1,7,1,6,1,4,1,5,1,5,1,1,7,1,6,1,1,6,1,4,1,7,6,1,5,2,7,5,7,1,1,2,7,1,2,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Heppie",0,"5/8/69","Lolita","Hep","AH","7/15/01",11756,33,"Yerkes","A",2,4,3,3,6,6,2,4,3,2,4,5,4,2,5,1,4,1,1,4,5,4,3,1,1,4,3,2,6,4,5,4,2,3,4,2,5,2,3,6,3,6,4,4,"5/8/69","Lolita","Hep","Yerkes",2,0,"MW","7/29/01","B",3,2,4,5,3,3,5,4,3,3,4,3,5,4,3,5,3,4,5,4,4,5,4,5,4,5,4,3,4,5,4,5,4,3,5,4,4,3,4,4,3,3,4,4.5,3.5,3,5,5.5,2,4,3.5,2.5,3.5,4.5,4,2.5,5,2,4,2,2,4,4.5,4,3.5,3,2.5,4.5,3.5,3.5,5.5,4.5,5,4.5,3,3,3.5,2.5,4.5,2.5,3.5,5,3.5,4.5,3.5,4.5
"75","Hoboh",1,"1/1/59","","","WH","7/27/97",14087,39.6,"Yerkes","A",3,1,6,6,2,2,6,6,4,6,3,5,2,3,4,4,4,5,6,5,3,3,6,6,4,2,4,4,5,5,5,2,6,4,4,4,5,6,4,4,5,1,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Hunter",1,"8/3/84","Lilone","Rogger","WH","7/10/97",4724,13.3,"Yerkes","A",2,5,5,5,2,2,1,3,5,6,5,2,2,1,6,4,2,6,6,6,2,2,6,3,3,2,4,5,4,6,3,2,6,4,2,4,4,6,4,2,3,2,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Iyk",1,"8/1/62","","","MW","7/26/01",14239,40,"Yerkes","A",6,3,1,2,5,5,2,2,3,2,2,5,3,3,6,1,4,2,2,1,5,5,2,2,1,3,2,2,6,3,5,4,2,3,3,1,3,1,4,7,5,4,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Jacqueline",0,"10/16/76","Martha","Homer","WH","11/3/97",7688,21.6,"Yerkes","A",7,5,5,3,2,3,1,6,6,6,4,5,3,1,4,4,3,6,5,5,3,2,5,6,1,1,4,6,2,4,3,3,6,2,2,1,2,6,2,4,5,2,2,6,"10/16/76","Martha","Homer","Yerkes",7,0,"MW","7/25/01","B",4,2,3,3,5,4,3,3,4,3,6,4,3,3,5,5,4,3,6,4,2,3,2,5,5,5,4,4,4,4,3,3,3,4,2,4,5,3,3,5,4,2,3,4,4.5,3.5,2.5,4.5,1.5,6,5.5,5,3.5,3.5,3,2.5,3.5,4,3.5,5.5,5,5,3.5,2.5,4,4.5,2,1.5,3,5.5,3,4.5,3,3,5.5,3,3,2.5,2.5,4,2.5,4,4,2.5,3,5.5
"79","Jaimie",0,"5/17/95","Ericka","","SS","1/14/99",1338,3.8,"Yerkes","B",NA,2,1,4,4,3,1,2,4,4,7,4,4,7,1,7,4,2,1,4,7,6,2,1,7,5,5,1,4,2,1,4,1,3,4,4,5,1,6,1,5,5,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Jarred",1,"9/21/87","Gay","Ossabaw","LF","7/24/97",3594,10.1,"Yerkes","A",3,1,7,7,1,3,1,5,5,5,4,1,1,6,1,6,3,6,6,4,2,4,3,5,5,1,1,5,2,6,2,2,4,6,2,5,2,6,3,1,1,1,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Jeanie",0,"1/1/69","","","WH","7/10/97",10417,29.3,"Yerkes","A",2,4,4,5,5,7,1,2,3,2,5,2,5,5,3,3,4,2,2,5,5,5,4,4,5,3,2,2,5,5,1,4,2,6,5,6,2,2,5,2,2,5,4,5,"1/1/69","","","Yerkes",2,0,"MW","7/15/01","B",3,2,3,2,2,2,3,5,5,5,3,2,5,4,2,2,4,3,5,2,5,2,3,4,3,5,4,2,6,5,4,4,3,2,2,3,4,2,2,5,5,2,3,3.5,5,5,5,6,1.5,2.5,4,2.5,3.5,3.5,4,3.5,2.5,2.5,3,2,2,4.5,4,4,4,3,3.5,2.5,2.5,3.5,5,4.5,2.5,4.5,2.5,5,3.5,4,2.5,2,4.5,3,2.5,5,4.5,3.5
"82","Jenda",0,"2/14/58","Soda","Jent","MW","7/26/01",15868,44.6,"Yerkes","A",6,3,2,2,5,5,3,2,2,1,2,4,3,1,6,2,4,1,2,3,4,3,3,2,2,5,5,2,5,5,5,4,1,3,2,2,4,2,4,2,5,4,2,6,"2/14/58","Soda","Jent","Yerkes",6,0,"WH","12/30/98","B",1,7,5,7,1,2,5,5,2,5,2,1,2,2,2,6,1,1,2,2,6,3,3,4,2,5,5,3,1,5,4,7,6,2,6,4,3,1,1,1,2,5,6,4,1.5,2,5,3.5,5,2,1.5,1,1.5,5,4,1,6.5,2,3,1,2,3,4,2,2.5,2.5,1.5,5.5,4,3.5,5,4.5,6,3,1.5,2,2,2.5,5,3.5,4,3.5,5.5,4.5,2,6
"83","Jennifer",0,"1/1/63","","","WH","9/10/97",12671,35.6,"Yerkes","B",NA,4,5,7,3,2,5,6,5,3,2,3,1,2,6,3,3,6,5,4,3,2,7,5,2,3,3,7,2,6,4,4,6,5,3,3,4,6,2,4,4,1,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Jenny",0,"2/24/40","Wendy","Jack","DL","10/4/97",21042,59.1,"Yerkes","B",NA,5,6,5,6,5,6,2,3,2,5,3,6,5,4,2,7,2,4,5,7,6,4,4,6,3,2,1,5,5,2,6,6,6,7,5,5,2,7,6,3,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","Jesse",0,"8/14/82","Jenda","Iyk","SS","1/19/99",6002,16.9,"Yerkes","B",NA,2,1,6,5,4,1,1,1,2,2,2,4,3,6,3,3,1,1,2,6,4,1,1,4,5,4,2,4,3,2,4,2,4,2,2,1,2,4,5,1,2,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Jewelle",0,"3/9/92","Jaq","Rogger","AH","7/26/01",3426,9.6,"Yerkes","A",9,3,6,7,5,3,1,7,6,5,4,3,3,3,5,4,3,6,5,4,3,3,4,6,4,2,2,5,4,5,3,3,5,5,3,3,3,4,3,2,3,4,4,6,"3/9/92","Jaq","Rogger","Yerkes",9,0,"LP","8/17/97","B",6,3,3,5,6,6,2,3,4,1,7,5,5,5,4,7,5,2,2,3,1,7,1,7,5,6,1,7,6,3,2,6,1,2,1,3,3,3,6,7,5,4,2,2.5,6,6,4,2.5,2,7,6.5,5.5,3.5,2,3,4,5,5,3,6,4.5,3.5,3,2.5,4.5,6.5,5,1.5,1.5,5.5,3.5,6,4.5,4,5,5,2.5,5,2,4,2.5,1.5,2.5,2.5,4,6.5
"87","Jimmy Carter",1,"1/21/77","Anna","Franklin","AH","7/15/01",8941,25.1,"Yerkes","A",2,1,6,3,2,3,1,6,5,3,3,4,2,2,5,2,3,5,5,4,2,2,2,2,4,2,1,4,5,5,5,3,3,4,2,3,4,4,2,6,4,5,4,5,"1/21/77","Anna","Franklin","Yerkes",2,1,"WH","8/21/97","B",2,3,4,5,4,3,4,4,3,5,4,4,5,3,2,5,3,4,6,4,5,3,5,3,3,3,5,4,4,5,5,4,5,5,5,5,3,4,4,4,5,3,3,2.5,5,4,3,4.5,2,5,4.5,2.5,3.5,4.5,3,3,5,2.5,3.5,4.5,3.5,3.5,3.5,3,2.5,2.5,4,3.5,3,3.5,5,4,4.5,4,3,3.5,3.5,3.5,4.5,3.5,3.5,5.5,3.5,5,3.5,5
"88","Jimoh",1,"1/1/64","","","LP","6/11/00",13311,37.4,"Yerkes","B",NA,2,4,3,5,6,4,5,3,4,6,2,5,4,5,4,5,5,4,5,6,6,3,2,4,2,4,2,6,5,2,6,2,6,5,2,1,1,6,4,1,6,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","Jolson",1,"1/10/93","Suwannee","Carmichael","WH","11/30/97",1785,5,"Yerkes","A",8,2,5,5,4,4,1,5,3,3,6,2,4,6,1,5,4,2,1,6,4,5,3,2,6,3,3,2,4,5,1,4,3,5,5,5,2,1,5,1,1,2,4,6,"1/10/93","Suwannee","Carmichael","Yerkes",8,1,"MW","7/26/01","B",6,4,2,4,5,6,3,3,2,3,5,3,6,6,5,4,5,4,3,3,2,5,2,3,5,5,2,5,6,5,3,3,3,2,2,3,5,3,5,5,6,5,4,2.5,5.5,5.5,3.5,3.5,2.5,5,4,4.5,4.5,2,3,4.5,2.5,5.5,3.5,3.5,3,5.5,3.5,4.5,4.5,3.5,5.5,2.5,2.5,3.5,4.5,4,2,5,4,5,3.5,5,2.5,3,4,1.5,2.5,2.5,3,5
"90","Joseph",1,"11/25/80","Jenda","Walnut","WH","8/15/97",6107,17.2,"Yerkes","A",2,3,5,5,2,3,5,5,4,5,5,3,4,5,4,5,4,5,5,4,3,3,5,5,5,3,4,4,4,4,5,4,5,4,4,4,4,5,5,4,4,2,4,4,"11/25/80","Jenda","Walnut","Yerkes",2,1,"MW","7/15/01","B",7,3,1,5,7,6,2,2,2,2,6,2,7,7,7,6,2,1,2,2,2,6,2,5,7,7,1,2,6,6,1,3,2,2,1,1,6,1,2,1,6,2,3,2.5,5.5,5.5,2,2.5,4,5.5,2.5,6,3,2.5,2.5,3.5,4.5,5.5,3,6,6,5,2,2,6,5.5,3.5,2,3,5.5,5,4.5,4,5.5,6,3,3,3,3,3.5,3,2.5,3.5,2,3,5
"91","Juan",1,"2/23/68","Jenny","Frans","WH","7/17/97",10737,30.2,"Yerkes","A",3,6,2,2,2,6,5,1,1,1,5,7,5,4,6,2,4,2,2,4,5,5,3,2,2,5,5,2,6,4,2,4,2,2,5,3,5,2,5,5,6,5,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Julianne",0,"5/15/98","Tai","","TH","8/16/00",824,2.3,"Yerkes","A",NA,5,1,5,7,4,1,1,4,4,6,2,4,7,1,7,4,2,1,4,7,7,5,5,7,4,7,1,7,5,1,5,1,6,4,4,5,2,6,1,2,2,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Julie",0,"8/29/94","Ellie","Conan","AH","7/15/01",2512,7.1,"Yerkes","A",4,4,4,6,3,3,2,4,4,4,4,3,2,5,2,5,3,3,3,4,4,3,4,5,4,4,4,5,4,5,2,5,4,4,2,3,2,2,4,2,2,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Justin",1,"8/1/86","Foxy","Duncan","AH","7/15/01",5462,15.3,"Yerkes","A",2,4,3,5,3,6,2,3,2,4,6,1,3,3,3,4,4,2,1,4,5,6,5,2,6,4,2,1,6,4,2,4,2,4,4,5,1,1,6,5,2,2,3,5,"8/1/86","Foxy","Duncan","Yerkes",2,1,"DL","10/4/97","B",6,2,3,3,6,6,2,2,5,3,4,5,3,4,5,5,6,2,5,2,2,6,4,3,5,4,2,5,5,5,4,2,2,2,5,3,4,4,5,5,3,5,5,3,4,4,2.5,5.5,2,3.5,3.5,5,5,1.5,3,4,3,5,3,4,3,4,4,4,4.5,4,5.5,4.5,3,2.5,5.5,3.5,2,3.5,3.5,5,3,5,1.5,3,5,3.5,3.5,2.5,4,5
