"","chimp","Sub..","Year4","Glucose","BUN","Creatine","Protein","Albumn","Bilirubn","alkphos","sgpt","sgot","cholesterol","calcium","phosphate","sodium","potassium","chloride","ag_ratio","bc_ratio","globulin","lipase","amylase","triglicerides","cpk","ggtp","magnesium","osmolal","Year3","Glucose.1","BUN.1","Creatin","Protein.1","Albumn.1","Bilirubn.1","alkphos.1","sgpt.1","sgot.1","cholesterol.1","calcium.1","phosphate.1","sodium.1","potassium.1","chloride.1","ag_ratio.1","bc_ratio.1","globulin.1","lipase.1","amylase.1","triglicerides.1","cpk.1","ggtp.1","magnesium.1","osmolal.1","Year2","Glucose.2","BUN.2","Creatin.1","Protein.2","Albumn.2","Bilirubn.2","alkphos.2","sgpt.2","sgot.2","cholesterol.2","calcium.2","phosphate.2","sodium.2","potassium.2","chloride.2","ag_ratio.2","bc_ratio.2","globulin.2","lipase.2","amylase.2","triglicerides.2","cpk.2","ggtp.2","magnesium.2","osmolal.2","Year1","Glucose.3","BUN.3","Creatin.2","Protein.3","Albumn.3","Bilirubn.3","alkphos.3","sgpt.3","sgot.3","cholesterol.3","calcium.3","phosphate.3","sodium.3","potassium.3","chloride.3","ag_ratio.3","bc_ratio.3","globulin.3","lipase.3","amylase.3","triglicerides.3","cpk.3","ggtp.3","magnesium.3","osmolal.3","DaysInterval1","DaysInterval2","DaysInterval3","AverageDaysInterval","Interval1Centered","Interval2Centered","Interval3Centered","X","DOB.x","Dam.x","Sire.x","Sex.x","Rater.x","DOPR.x","DaysAgeatTest","YearsAgeatTest","location.x","Version.x","Group.size.x","fear.x","dom.x","pers.x","caut.x","stbl.x","aut.x","stngy.x","jeals.x","reckl.x","soc.x","tim.x","symp.x","play.x","sol.x","actv.x","help.x","buly.x","aggr.x","manp.x","gntl.x","affc.x","exct.x","impl.x","inqs.x","subm.x","depd.x","irri.x","pred.x","decs.x","depr.x","sens.x","defn.x","intll.x","prot.x","invt.x","clmy.x","errc.x","frdy.x","lazy.x","dsor.x","unem.x","imit.x","indp.x","DOB.y","Dam.y","Sire.y","location.y","Group.size.y","Sex.y","Rater.y","DOPR.y","Version.y","reckl.y","aut.y","symp.y","sol.y","buly.y","actv.y","fear.y","caut.y","imit.y","unem.y","stngy.y","play.y","sens.y","exct.y","aggr.y","indp.y","intll.y","affc.y","stbl.y","help.y","tim.y","impl.y","depd.y","decs.y","defn.y","irri.y","lazy.y","invt.y","dom.y","pred.y","frdy.y","depr.y","clmy.y","prot.y","subm.y","gntl.y","manp.y","soc.y","inqs.y","jeals.y","pers.y","errc.y","dsor.y","fear.z","pers.z","caut.z","stbl.z","aut.z","stngy.z","jeals.z","reckl.z","soc.z","tim.z","symp.z","play.z","sol.z","actv.z","help.z","buly.z","aggr.z","manp.z","gntl.z","affc.z","exct.z","impl.z","inqs.z","subm.z","depd.z","irri.z","pred.z","decs.z","depr.z","sens.z","defn.z","intll.z","prot.z","invt.z","clmy.z","errc.z","frdy.z","lazy.z","dsor.z","unem.z","imit.z","indp.z","Colony","Status","Survey.1","BP.1","Weight.1..kg.","Survey.2","BP.2","Weight.2..kg.","Survey.3","BP.3","Weight.3..kg.","sex","maternity","paternity","momage","parity","bo","rearing","age","hi","date1","rbc","wbc","hct","hgb","mcv","mch","mchc","lymph","monos","eos","date2","rbc2","wbc2","hct2","hgb2","mcv2","mch2","mchc2","lymp2","mono2","eos2","date3","rbc3","wbc3","hct3","hgb3","mcv3","mch3","mchc3","lymp3","mono3","eos3"
"152","Socrates","537","05/12/2004",84,13,1.5,8,4,0.3,74,51,58,214,10.2,3.1,145,4,98,1,9,4,35,42,131,603,49,2.3,286,"05/01/2003",105,17,1.9,8.3,4.1,0.2,112,36,36,208,9.6,1.7,143,3.6,103,1,9,4.2,25,39,65,514,34,1.9,285,"5/16/02",86,15,1.2,8.1,3.9,0.3,104,32,37,225,9.9,2.5,144,4,98,0.9,13,4.2,23,40,118,418,34,1.9,285,"02/09/2001",98,13,1.2,7.6,4,0.3,100,36,59,196,9.7,2.3,140,3.6,102,1.1,11,3.6,18,26,108,2513,26,1.7,277,461,350,377,396,65,-46,-19,157,"1/23/1987","Gwennie","Walnut",1,"SS","01/10/1999",4370,12.3,"Yerkes","B",NA,1,7,7,1,5,1,3,1,6,6,1,5,5,2,5,4,6,6,7,6,6,4,6,6,1,1,3,5,7,2,6,7,7,4,7,1,2,4,1,1,1,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yerkes","Alive","02/12/2008","167/95",NA,"","",NA,"","",NA,1,"Gwennie","Walnut",20,4,4,1,"9.5","0.4","07/11/1996",5.42,17500,47.9,15.2,88.4,28,31.7,10,0,1,"03/02/1998",5.98,12700,48.9,16.1,81.8,26.9,32.9,22,1,1,"18/02/1999",5.85,19600,49.7,16.2,85,27.7,32.6,12,2,0
"153","Sonia","406","05/07/2001",90,31,1.5,6.8,2.9,0.1,68,51,30,306,9.4,1.8,141,3.5,102,0.7,21,3.9,26,22,227,227,18,1.7,285,"02/12/1999",92,30,1.4,7.6,3.1,0.1,59,39,22,234,10.5,2,144,3.8,105,0.7,21,4.5,65,26,331,142,21,1.8,291,"2/26/98",72,31,1,6.5,2.7,0.4,60,31,25,296,9,3.3,143,3.5,99,0.7,31,3.8,NA,NA,211,281,NA,NA,NA,"2/15/96",84,28,1.1,6.9,3.1,0.3,47,49,23,251,9.6,2.6,143,3,100,0.8,25,3.8,NA,NA,134,345,NA,NA,NA,742,351,815,636,106,-285,179,158,"11/01/1959","","",0,"SS","01/03/1999",14308,40.2,"Yerkes","A",NA,4,4,2,4,6,1,1,1,1,6,2,6,1,4,1,6,1,1,1,7,7,2,1,4,4,2,1,7,6,5,5,1,5,6,2,4,1,7,6,1,4,3,4,"11/01/1959","","","Yerkes",NA,0,"WH","7/29/01","B",1,1,5,2,6,1,1,6,2,6,7,5,5,2,2,5,6,6,7,4,2,1,2,6,4,1,5,4,6,6,7,1,2,6,2,6,4,7,7,2,5,1,1,2.5,3.5,5,6.5,1,4,1.5,1,6.5,2,5.5,3,3,1,5,3.5,1.5,2.5,6.5,6.5,2,1,5.5,3,2,1,6.5,6,3,5,2.5,5.5,6,3,3,1,7,5.5,1,5,2.5,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"","",NA,NA,NA,1,"37","1","10/12/1996",4.81,17600,37.8,12.3,78.6,25.6,32.5,23,8,0,"26/02/1998",5.41,11000,42.6,15,78.7,27.7,35.2,24,6,0,"11/02/1999",5.99,9000,50.5,16.7,84.3,27.9,33.1,48,8,0
"154","Steward","641","02/11/2004",87,14,1.2,8.1,3.8,0.2,166,39,32,165,10.3,3.2,143,4,100,0.9,12,4.3,28,27,121,458,22,1.5,283,"02/11/2003",75,15,1.4,7.5,3.9,0.2,296,32,30,142,9.3,3.8,139,4,98,1.1,11,3.6,30,24,135,446,22,1.5,276,"3/25/02",90,18,1.3,7.6,3.6,0.2,418,24,25,140,10.1,4,139,4.3,99,0.9,14,4,32,23,87,640,17,1.6,278,"3/16/01",89,15,0.9,7.2,3.8,0.2,833,33,22,156,10.1,5.1,138,3.7,101,1.1,17,3.4,31,15,104,333,27,1.5,274,374,323,365,354,20,-31,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yerkes","Alive","10/25/11","140/71",68,"02/05/2008","135/46",63.4,"","",NA,1,"Vivienne","Rogger",19,4,4,1,"3","0.29","20/02/1997",5.27,12600,40.8,13.1,77.4,24.9,32.1,33,5,4,"11/03/1998",5.65,10100,42.9,14.4,75.9,25.5,33.6,40,10,4,"11/03/1999",5.62,15400,43.9,14.5,78.1,25.8,33,23,3,0
"155","Storer","491","3/30/99",147,12,1.2,7.1,3.7,0.2,134,30,27,228,9.3,4.6,142,3.1,98,1.1,10,3.4,64,30,159,270,37,1.9,282,"03/09/1998",143,13,0.8,7.1,3.7,0.6,68,31,25,246,9.5,4.5,144,3.4,99,1.1,16,3.4,NA,NA,128,159,NA,NA,NA,"3/13/97",142,9,1,7.1,3.6,0.5,69,23,26,228,9.7,2.9,141,3.4,96,1,9,3.5,NA,NA,181,116,NA,NA,NA,"03/12/1996",156,14,1.1,7.5,3.6,0.3,92,25,16,235,10.3,3.9,148,3.4,98,0.9,13,3.9,NA,NA,162,215,NA,NA,NA,366,361,386,371,-5,-10,15,160,"11/19/1991","Mai","Walnut",1,"WH","7/15/01",3526,9.9,"Yerkes","A",5,1,4,6,5,6,2,2,1,2,5,4,5,6,2,2,4,2,1,5,6,6,3,2,5,3,4,2,6,4,2,5,2,4,5,4,1,1,6,4,2,2,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Mai","Walnut",17,4,4,1,"15","0.34","13/03/1997",5.28,11300,44.9,14.8,85,28,33,54,0,5,"09/03/1998",5.36,13400,44.6,14.8,83.2,27.6,33.2,61,10,3,"30/03/1999",5.27,10500,44.2,14.9,83.9,28.3,33.7,46,4,3
"156","Suwanee","590","02/04/2004",107,7,0.9,7.5,3.3,0.3,82,29,23,147,9.4,2.8,136,3.6,98,0.8,8,4.2,56,44,85,362,21,1.7,268,"02/03/2003",107,8,1.2,7.3,4,0.2,126,33,22,146,9.2,2.8,142,3.5,103,1.2,7,3.3,54,43,95,258,21,1.6,279,"1/28/02",108,5,1,7.3,3.6,0.2,99,29,22,182,9.6,3.3,132,3.3,97,1,5,3.7,30,45,63,180,25,1.6,259,"03/06/2001",110,11,1.2,7.4,3.6,0.2,83,26,23,180,9.5,2.6,137,3.8,99,0.9,9,3.8,91,32,82,172,33,1.8,272,328,371,366,355,-27,16,11,161,"2/17/1985","Peony","Walnut",0,"WH","11/15/97",4654,13.1,"Yerkes","A",7,4,2,4,5,5,1,5,5,2,6,5,5,6,2,6,4,3,2,5,5,5,3,3,5,6,5,2,4,4,2,5,3,5,3,3,3,2,5,2,3,4,4,3,"2/17/1985","Peony","Walnut","Yerkes",7,0,"MW","7/25/01","B",2,2,4,5,1,2,5,5,3,3,3,2,5,3,2,5,4,4,5,5,5,2,5,3,2,4,5,3,2,5,5,5,4,3,6,5,3,3,3,4,3,3,4,4.5,3.5,5,5,1.5,4,4.5,2,4.5,5,4.5,4,3.5,4,4.5,2,2,4,5,4.5,3,2.5,4,6,5,3,4.5,3.5,3.5,5,2.5,4.5,3,3,3.5,2.5,5,3.5,3.5,3.5,3.5,4,"Yerkes","Alive","11/23/10","132/66",70,"12/21/09","139/77",69.5,"10/21/08","149/96",74,0,"Peony","Walnut",17,3,2,1,"11.5","0.26","15/01/1997",4.61,9700,39.9,12.8,86.6,27.8,32.1,30,1,4,"20/01/1998",4.77,12200,38.8,13,81.3,27.3,33.5,21,0,4,"07/01/1999",4.79,15300,38.9,13.2,81.2,27.6,33.9,11,1,0
"157","Suzanna","514","08/04/2003",103,9,0.6,7.1,3.5,0.2,62,22,15,171,9.1,2,144,3.7,108,1,15,3.6,31,18,58,185,21,1.7,284,"10/14/02",113,7,0.8,7.5,3.7,0.4,60,21,17,169,10.2,2.1,145,3.2,108,1,9,3.8,30,17,80,168,18,1.8,284,"9/26/01",110,9,0.8,7.7,3.7,0.4,72,26,29,177,10.5,1.8,144,3.5,109,0.9,11,4,35,25,152,167,31,1.9,284,"9/20/00",103,7,0.9,6.9,3.4,0.2,96,26,22,173,9.3,1.3,139,3,106,1,8,3.5,23,16,49,146,14,1.3,272,371,383,294,349.33,22,34,-55,162,"2/25/1976","Jenda","Hep",0,"AH","7/15/01",9272,26,"Yerkes","A",2,4,4,5,5,3,2,4,5,6,3,2,2,5,4,7,4,4,4,5,3,3,7,7,5,2,2,5,2,5,2,2,5,4,3,4,3,5,2,1,6,2,4,6,"2/25/1976","Jenda","Hep","Yerkes",2,0,"SS","1/14/99","B",6,3,2,3,5,5,3,3,3,2,5,3,3,5,4,5,5,3,2,4,3,5,3,5,4,5,3,4,5,4,3,3,1,2,2,2,4,2,4,5,5,5,2,3.5,5,4,2.5,2.5,4.5,5,6,2.5,2.5,2,4,3.5,6,4,4.5,4,4.5,2.5,3,6,6,4.5,2,2.5,5,3,5,2.5,2.5,4.5,4.5,2.5,4,2,5,2.5,2,4,2,3.5,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Jenda","Hep",18,5,4,2,"21","0.55","25/03/1997",5.26,12200,43.8,14.1,83.3,26.8,32.2,74,4,4,"11/09/1997",5.01,25500,41.9,14.2,83.6,28.3,33.9,16,2,1,"01/09/1998",4.97,19900,41.4,14.4,83.3,28.4,34.1,15,1,0
"158","Sylvia","708","03/05/2003",94,12,1,7.6,4.1,0.1,305,12,14,163,9.5,3.3,140,3.7,104,1.2,12,3.5,36,18,57,100,29,1.8,277,"04/01/2002",99,10,0.8,7.2,3.8,0.1,292,26,12,150,9.9,2.4,145,3.6,103,1.1,13,3.4,48,15,46,268,25,1.7,285,"3/21/01",90,12,0.9,7.5,4.1,0.2,479,28,15,167,9.8,2.6,141,3.1,103,1.2,13,3.4,29,11,49,204,30,1.7,277,"4/27/00",89,10,0.9,6.8,3.6,0.1,380,24,14,160,9.1,3.1,136,3.5,96,1.1,11,3.2,32,12,55,216,16,1.7,268,328,376,338,347.33,-19,29,-9,163,"7/19/1993","Melissa","Carmichael",0,"MW","7/24/01",2927,8.2,"Yerkes","A",6,5,3,4,5,4,1,3,2,1,5,3,4,5,2,5,4,2,1,4,4,5,5,5,5,2,4,1,4,4,1,6,6,4,2,5,3,2,6,2,3,3,5,3,"7/19/1993","Melissa","Carmichael","Yerkes",6,0,"DP","7/27/01","B",5,1,3,4,5,7,6,2,4,2,6,7,4,7,5,7,6,2,3,4,2,7,2,6,6,2,1,6,5,4,3,4,1,5,6,5,4,3,6,6,6,5,4,5.5,5,3.5,3.5,1,4.5,4,3,4,2.5,3.5,6,3,6,4,3.5,3,4,4.5,3.5,6,6,5.5,4,3,1.5,4,5,2.5,5,6,5,3.5,5.5,2,3.5,4.5,1.5,3.5,2.5,4.5,5,"Yerkes","Alive","05/02/2011","128/56",63,"03/11/2010","129/68",84.5,"09/02/2008","123/76",67,0,"Melissa","Carmichael",12.08,3,2,1,"3.5","0","12/03/1997",4.65,9800,35.9,11.9,77.2,25.6,33.1,27,1,0,"05/03/1998",4.49,10000,35.5,11.9,79.1,26.5,33.5,21,1,0,"25/03/1999",4.86,9900,39,13,80.2,26.7,33.3,28,2,1
"159","Tai","492","3/30/04",78,12,0.7,8.3,3.4,0.1,86,31,20,151,9.8,4.5,144,3.4,103,0.7,17,4.9,29,35,82,118,19,1.9,283,"3/18/03",114,11,0.9,8.9,3.7,0.1,106,24,26,187,9.5,2.7,139,3.2,97,0.7,12,5.2,20,30,84,218,19,1.9,275,"4/29/02",106,10,0.8,8.7,3.7,0.2,124,32,33,185,9.2,2.7,144,3.1,100,0.7,13,5,62,44,76,567,22,1.7,283,"02/02/2001",91,12,0.9,8.5,3.6,0.2,139,32,24,213,9.2,3.7,136,3.5,99,0.7,13,4.9,15,23,69,234,22,2.1,269,451,323,378,384,67,-61,-6,164,"01/01/1967","","",0,"JM","01/11/1999",11698,32.9,"Yerkes","A",NA,3,2,3,3,4,1,4,2,1,3,3,3,2,5,3,4,2,2,2,5,4,5,3,4,3,4,2,6,2,2,5,2,5,3,4,2,1,3,5,3,3,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yerkes","Alive","12/06/2011","142/88",47,"5/17/11","143/83",47.5,"2/23/10","188/145",48.2,0,"","",NA,NA,NA,1,"30","-0.53","19/02/1997",4.5,23900,39.9,12.2,88.7,27.1,30.6,28,13,0,"23/02/1998",4.04,18900,34.7,11.2,85.9,27.7,32.3,24,2,0,"22/02/1999",4.56,12500,40.2,12.8,88.2,28.1,31.8,67,7,4
"160","Tank","525","11/09/1999",138,13,1.4,7.7,4,0.2,99,56,46,154,9,2.7,139,3.6,100,1.1,9,3.7,NA,33,50,344,NA,NA,NA,"9/23/98",136,17,1.6,9.4,4.1,0.4,99,65,52,148,10.3,1.9,3.8,105,0.8,11,5.3,NA,32,63,432,NA,NA,NA,NA,"9/23/97",123,14,1.3,8.2,3.7,0.5,106,54,67,175,9.2,3.9,137,3.5,94,0.8,11,4.5,NA,NA,70,555,NA,NA,NA,"09/05/1996",79,15,1.5,8.1,3.8,0.4,201,49,86,165,9.9,4.3,140,3.9,100,0.9,10,4.3,NA,NA,62,3135,NA,NA,NA,383,365,412,386.67,-4,-22,25,165,"2/18/1986","Leslie","Ossabaw",1,"WH","8/15/97",4196,11.8,"Yerkes","A",3,2,5,6,2,2,4,3,5,6,4,2,2,5,4,5,4,6,6,6,2,3,5,5,4,3,4,5,5,5,4,3,6,5,4,4,5,5,3,2,4,3,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Leslie","Ossabaw",16.08,1,1,2,"11.5","0.55","23/09/1997",5.88,14100,46.2,15,78.6,25.5,32.5,42,1,0,"23/09/1998",5.49,11400,44.6,14.7,81.2,26.8,33,26,2,0,"09/11/1999",5.85,16000,46.2,15.1,79,25.8,32.7,30,0,0
"161","Tara","736","4/14/04",92,13,0.6,6.8,3.9,0.2,385,43,18,231,10.2,4.9,140,4,100,1.3,22,2.9,47,28,70,272,24,2.2,278,"4/24/03",109,15,0.8,7.2,4,0.1,658,41,19,227,9.7,3.6,143,4,104,1.3,19,3.2,44,29,57,354,23,1.6,285,"05/09/2002",83,13,0.7,7.1,3.9,0.2,745,39,19,229,9.4,5.1,142,4,103,1.2,19,3.2,27,26,99,296,26,1.8,281,"03/01/2001",88,10,0.6,7.1,3.9,0.1,795,42,16,234,9.7,5.3,140,4.1,104,1.2,17,3.2,31,16,72,382,20,1.7,276,434,350,356,380,54,-30,-24,166,"09/05/1995","Rita","Jimoh",0,"JF","01/12/1999",1225,3.4,"Yerkes","B",NA,3,2,4,4,6,1,4,2,1,6,1,5,6,1,6,4,1,2,2,6,7,2,2,7,5,3,1,NA,6,1,4,1,4,NA,4,2,1,6,1,1,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yerkes","Alive","2/22/11","128/64",56.5,"6/16/09","103/49",55.5,"","",NA,0,"Rita","",NA,NA,NA,NA," -   ","","30/11/1995",4.95,17100,37.6,12.5,76,25.3,33.2,67,5,5,"05/02/1998",5.43,16900,40.2,13.5,74,24.9,33.6,50,3,1,"24/02/1999",5.33,9300,41.1,13.7,77.1,25.7,33.3,60,7,0
"162","Travis","583","05/06/2004",98,14,1.2,6.6,3.9,0.3,245,45,26,186,10.3,2,138,3.5,98,1.4,12,2.7,46,38,157,309,40,2.4,283,"5/22/03",109,10,1.2,7.6,4.2,0.2,214,63,22,186,9.2,1.3,143,4,104,1.2,8,3.4,29,30,201,194,40,1.9,283,"6/18/02",81,12,1.3,7.9,4,0.3,152,37,42,141,9.8,1.7,142,3.4,103,1,9,3.9,33,45,91,587,28,1.9,279,"2/16/01",96,12,1.4,7.1,3.9,0.4,142,42,32,198,10.1,3.3,140,3.7,100,1.2,9,3.2,20,24,71,600,31,1.9,277,487,338,350,391.67,95,-54,-42,167,"08/02/1989","Cissie","Kipper",1,"SS","1/13/99",3451,9.7,"Yerkes","B",NA,4,5,5,2,2,1,5,5,6,4,1,1,4,1,5,2,6,4,5,1,3,2,2,4,2,2,3,5,6,1,3,1,3,2,3,1,2,3,4,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yerkes","Alive","04/05/2010","136/78",93,"10/20/09","136/74",91.5,"6/23/08","148/08",93,1,"Cissie","Kipper",12.75,2,2,1,"7.5","0.13","19/05/1997",5.48,13800,42.4,14,77.4,25.5,33,21,2,2,"05/01/1998",6.18,14600,49,16.2,79.3,26.2,33.1,12,6,0,"02/02/1999",6.41,16700,52.4,17.2,81.7,26.8,32.8,13,1,1
"163","Virginia","678","1/27/04",109,10,0.8,8.1,4,0.2,125,34,14,178,10.3,3.1,143,4.1,103,1,13,4.1,19,23,136,189,25,1.9,283,"03/10/2003",94,13,0.9,7.8,3.8,0.2,119,31,16,167,9.3,2.3,141,3.5,106,1,14,4,21,25,172,411,23,1.6,279,"04/04/2002",82,14,0.8,7.4,3.5,0.2,157,31,19,147,9.5,3.1,140,3.8,103,0.9,18,3.9,12,24,107,402,23,1.8,277,"03/07/2001",96,16,1.1,7.4,3.6,0.2,174,15,17,188,9.3,2.5,138,4,102,0.9,15,3.8,17,15,88,292,25,2,275,393,340,323,352,41,-12,-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yerkes","Alive","11/18/08","154/72",91.9,"11/06/2007","143/79",87,"","",NA,0,"Ericka","",17.5,3,2,1,"5.5","0.41","26/02/1997",4.92,10500,38.8,12.4,78.9,15.2,32,46,0,2,"19/02/1998",5,14500,40.3,13.4,80.6,26.8,33.3,38,2,0,"10/02/1999",5.02,12500,41.8,13.6,83.3,27.1,32.5,34,0,3
"164","Vivienne","498","02/11/2004",85,13,1,8.1,3.5,0.3,87,29,20,205,9.4,2.4,142,3.9,102,0.8,13,4.6,30,37,57,431,31,1.4,281,"02/11/2003",65,10,1.3,7.3,3.4,0.3,79,30,17,213,8.6,3.2,138,3.4,98,0.9,8,3.9,24,39,108,567,29,1.4,270,"3/25/02",74,14,1.2,7.8,3.4,0.2,74,28,22,187,9,2.2,140,3.7,102,0.8,12,4.4,30,41,66,602,25,1.5,276,"3/16/01",79,15,1.1,7.8,3.6,0.2,87,29,21,203,9.2,1.8,137,33.6,106,0.9,14,4.2,32,28,55,661,35,1.3,271,374,323,365,354,20,-31,11,168,"7/27/1974","Boka","",0,"SS","01/10/1999",8933,25.1,"Yerkes","A",NA,4,1,2,7,4,2,2,2,2,1,4,2,1,7,2,2,2,1,1,4,2,2,2,6,7,4,4,6,4,6,4,1,4,1,2,1,1,2,6,2,6,2,5,"7/27/1974","Boka","","Yerkes",NA,0,"WH","8/22/97","B",5,5,3,5,5,3,4,4,3,2,5,3,3,5,4,4,5,3,3,3,5,4,4,5,5,5,5,3,2,4,3,5,4,5,6,3,4,4,3,5,5,4,5,4,3.5,5.5,3.5,3.5,3.5,3.5,3.5,2.5,4.5,2.5,2,6,2.5,2.5,3.5,2.5,2.5,3.5,2.5,3.5,3,4.5,6.5,4,4.5,5,4.5,5.5,3.5,3,4.5,3,2.5,2.5,2.5,2.5,5.5,3.5,4,2.5,4.5,"Yerkes","Alive","02/01/2011","130/90",65.5,"06/09/2009","119/74",62,"5/27/08","137/80",61,0,"Boka","",14.75,5,2,2,"12.5","0.12","20/02/1997",5.63,14000,47.9,15.2,85.1,27,31.7,40,2,7,"11/03/1998",5.54,12000,46,15.2,83,27.4,33,34,6,8,"11/03/1999",5.22,10500,44.5,14.6,85.2,28,32.8,34,1,3
